year,statefip,state_name,total_population,income_per_capita,unemp_rate
2008,1,Alabama,4718206,42242,5.88
2009,1,Alabama,4757938,41995,10.08
2010,1,Alabama,4785514,41757,10.37
2011,1,Alabama,4799642,41849,9.58
2012,1,Alabama,4816632,41617,8.16
2013,1,Alabama,4831586,41356,7.33
2014,1,Alabama,4843737,42010,6.73
2015,1,Alabama,4854803,43835,6.13
2016,1,Alabama,4866824,43577,5.91
2017,1,Alabama,4877989,44472,4.51
2018,1,Alabama,4891628,46441,3.94
2019,1,Alabama,4907965,47123,3.18
2020,1,Alabama,5031864,50207,6.43
2021,1,Alabama,5050380,52290,3.37
2022,1,Alabama,5073903,50053,2.58
2008,2,Alaska,687455,51624,6.48
2009,2,Alaska,698895,50046,7.98
2010,2,Alaska,713982,53121,8.13
2011,2,Alaska,722349,54738,7.73
2012,2,Alaska,730810,55069,7.25
2013,2,Alaska,737626,53511,6.99
2014,2,Alaska,737075,55466,6.74
2015,2,Alaska,738430,56504,6.28
2016,2,Alaska,742575,54409,6.6
2017,2,Alaska,740983,54005,6.51
2018,2,Alaska,736624,55410,6.04
2019,2,Alaska,733603,56881,5.59
2020,2,Alaska,732964,58532,8.31
2021,2,Alaska,734923,57623,6.43
2022,2,Alaska,733276,58069,4.03
2008,4,Arizona,6280362,38967,5.79
2009,4,Arizona,6343154,36641,9.67
2010,4,Arizona,6407342,37162,10.3
2011,4,Arizona,6473416,38384,9.43
2012,4,Arizona,6556344,39253,8.35
2013,4,Arizona,6634690,39171,7.82
2014,4,Arizona,6732873,40235,6.79
2015,4,Arizona,6832810,41903,6.08
2016,4,Arizona,6944767,42530,5.48
2017,4,Arizona,7048088,44250,4.98
2018,4,Arizona,7164228,45656,4.81
2019,4,Arizona,7291843,47219,4.81
2020,4,Arizona,7186683,50355,7.84
2021,4,Arizona,7272487,53694,5.08
2022,4,Arizona,7365684,50480,3.83
2008,5,Arkansas,2874554,40983,5.44
2009,5,Arkansas,2896843,40970,7.72
2010,5,Arkansas,2921998,40280,7.86
2011,5,Arkansas,2941038,41286,7.91
2012,5,Arkansas,2952876,43016,7.27
2013,5,Arkansas,2960459,42407,7.04
2014,5,Arkansas,2968759,44095,5.9
2015,5,Arkansas,2979732,45429,4.95
2016,5,Arkansas,2991815,45891,3.98
2017,5,Arkansas,3003855,46835,3.74
2018,5,Arkansas,3012161,48479,3.66
2019,5,Arkansas,3020985,48268,3.49
2020,5,Arkansas,3014348,51209,6.2
2021,5,Arkansas,3028443,53390,4.08
2022,5,Arkansas,3046404,52430,3.3
2008,6,California,36604337,43801,7.3
2009,6,California,36961229,42404,11.54
2010,6,California,37319550,43519,12.46
2011,6,California,37636311,44858,11.89
2012,6,California,37944551,46170,10.53
2013,6,California,38253768,45839,9.03
2014,6,California,38586706,47491,7.57
2015,6,California,38904296,50074,6.23
2016,6,California,39149186,51845,5.52
2017,6,California,39337785,52604,4.83
2018,6,California,39437463,53481,4.26
2019,6,California,39437610,55915,4.1
2020,6,California,39503200,60011,10.2
2021,6,California,39145060,63271,7.32
2022,6,California,39040616,59103,4.18
2008,8,Colorado,4889730,46677,4.88
2009,8,Colorado,4972195,44290,7.88
2010,8,Colorado,5047539,44902,9.14
2011,8,Colorado,5121900,45642,8.69
2012,8,Colorado,5193660,46712,8
2013,8,Colorado,5270774,47730,6.75
2014,8,Colorado,5352637,50254,4.98
2015,8,Colorado,5454328,51326,3.74
2016,8,Colorado,5543844,50932,3.13
2017,8,Colorado,5617421,52739,2.61
2018,8,Colorado,5697155,56587,3.05
2019,8,Colorado,5758486,57850,2.67
2020,8,Colorado,5785219,59863,6.77
2021,8,Colorado,5811596,64282,5.46
2022,8,Colorado,5841039,63875,3.02
2008,9,Connecticut,3545579,61514,5.65
2009,9,Connecticut,3561807,60539,8.33
2010,9,Connecticut,3579173,63476,9.56
2011,9,Connecticut,3588632,62986,9.02
2012,9,Connecticut,3595211,62599,8.36
2013,9,Connecticut,3595792,60177,7.95
2014,9,Connecticut,3595697,62124,6.62
2015,9,Connecticut,3588561,63350,5.62
2016,9,Connecticut,3579830,64059,4.87
2017,9,Connecticut,3575324,64665,4.42
2018,9,Connecticut,3574561,68093,3.88
2019,9,Connecticut,3566022,69110,3.61
2020,9,Connecticut,3577586,70544,7.97
2021,9,Connecticut,3603691,72206,6.29
2022,9,Connecticut,3608706,67254,4.16
2008,10,Delaware,883874,45923,5.03
2009,10,Delaware,891730,45268,8.34
2010,10,Delaware,899647,44779,8.66
2011,10,Delaware,907590,47058,7.61
2012,10,Delaware,915518,46587,7.07
2013,10,Delaware,924062,46599,6.61
2014,10,Delaware,933131,46908,5.61
2015,10,Delaware,942065,49657,4.79
2016,10,Delaware,949989,49888,4.53
2017,10,Delaware,957942,50850,4.47
2018,10,Delaware,966985,52109,3.71
2019,10,Delaware,976668,52615,3.59
2020,10,Delaware,991862,55233,7.51
2021,10,Delaware,1004881,55553,5.5
2022,10,Delaware,1019459,55709,4.49
2008,12,Florida,18527305,43264,5.69
2009,12,Florida,18652644,41222,9.56
2010,12,Florida,18846143,42760,10.83
2011,12,Florida,19055607,43276,10
2012,12,Florida,19302016,43193,8.67
2013,12,Florida,19551678,42278,7.53
2014,12,Florida,19853880,43817,6.43
2015,12,Florida,20219111,45696,5.52
2016,12,Florida,20627237,46131,4.92
2017,12,Florida,20977089,48133,4.3
2018,12,Florida,21254926,49932,3.65
2019,12,Florida,21492056,52072,3.25
2020,12,Florida,21591299,53888,8.17
2021,12,Florida,21830708,57193,4.66
2022,12,Florida,22245521,54746,2.9
2008,13,Georgia,9504843,42027,6.78
2009,13,Georgia,9620846,41967,10.41
2010,13,Georgia,9712209,40688,10.66
2011,13,Georgia,9803630,42371,10.16
2012,13,Georgia,9903580,41428,9.04
2013,13,Georgia,9975592,41342,8.14
2014,13,Georgia,10071204,42966,7.14
2015,13,Georgia,10183353,45162,6.08
2016,13,Georgia,10308442,45910,5.47
2017,13,Georgia,10417031,47164,4.76
2018,13,Georgia,10519389,48286,4
2019,13,Georgia,10628020,49770,3.57
2020,13,Georgia,10732390,52197,6.48
2021,13,Georgia,10790385,53954,3.92
2022,13,Georgia,10913150,50954,3.03
2008,15,Hawaii,1332213,42839,4.03
2009,15,Hawaii,1346717,41152,6.66
2010,15,Hawaii,1364004,41970,6.82
2011,15,Hawaii,1379562,42000,6.83
2012,15,Hawaii,1395199,42548,5.9
2013,15,Hawaii,1408822,40543,4.76
2014,15,Hawaii,1415335,42368,4.23
2015,15,Hawaii,1422999,43527,3.42
2016,15,Hawaii,1428885,45057,2.89
2017,15,Hawaii,1425763,45830,2.22
2018,15,Hawaii,1423102,45669,2.41
2019,15,Hawaii,1415615,46700,2.52
2020,15,Hawaii,1451181,48300,11.86
2021,15,Hawaii,1446745,50224,6.02
2022,15,Hawaii,1439399,48095,3.48
2008,16,Idaho,1534320,38633,5.03
2009,16,Idaho,1554439,37037,8.71
2010,16,Idaho,1570819,37925,8.76
2011,16,Idaho,1584272,38351,8.17
2012,16,Idaho,1595910,39456,7.4
2013,16,Idaho,1612053,39856,6.82
2014,16,Idaho,1632248,40851,4.38
2015,16,Idaho,1652495,42395,3.87
2016,16,Idaho,1684036,43501,3.68
2017,16,Idaho,1719745,43698,3.22
2018,16,Idaho,1752074,46334,2.88
2019,16,Idaho,1789060,48080,2.87
2020,16,Idaho,1849339,52322,5.52
2021,16,Idaho,1904537,54349,3.5
2022,16,Idaho,1938996,53199,2.67
2008,17,Illinois,12747038,48415,6.51
2009,17,Illinois,12796778,45573,10.18
2010,17,Illinois,12840545,45785,10.47
2011,17,Illinois,12867783,46627,9.76
2012,17,Illinois,12883029,48180,9.05
2013,17,Illinois,12895778,48736,9.08
2014,17,Illinois,12885092,50192,7.17
2015,17,Illinois,12859585,52739,5.99
2016,17,Illinois,12821709,52593,5.88
2017,17,Illinois,12779893,53025,4.95
2018,17,Illinois,12724685,54882,4.4
2019,17,Illinois,12667017,56211,3.97
2020,17,Illinois,12790357,58848,9.33
2021,17,Illinois,12690341,61090,6.09
2022,17,Illinois,12582515,57654,4.54
2008,18,Indiana,6424806,43045,5.94
2009,18,Indiana,6459325,41599,10.43
2010,18,Indiana,6490555,42305,10.08
2011,18,Indiana,6517250,43988,8.91
2012,18,Indiana,6538989,44694,8.23
2013,18,Indiana,6570575,44364,7.5
2014,18,Indiana,6596019,45290,5.95
2015,18,Indiana,6611442,47431,4.78
2016,18,Indiana,6637898,48119,4.37
2017,18,Indiana,6662068,49155,3.49
2018,18,Indiana,6698481,49297,3.43
2019,18,Indiana,6731010,50349,3.29
2020,18,Indiana,6789098,54014,7.34
2021,18,Indiana,6813798,56596,3.89
2022,18,Indiana,6832274,54811,2.99
2008,19,Iowa,3016734,49431,4.18
2009,19,Iowa,3032870,46716,6.4
2010,19,Iowa,3050819,46319,6.12
2011,19,Iowa,3066772,49065,5.65
2012,19,Iowa,3076844,49603,5.06
2013,19,Iowa,3093935,49444,4.73
2014,19,Iowa,3110643,49950,4.23
2015,19,Iowa,3122541,52197,3.69
2016,19,Iowa,3133210,51997,3.58
2017,19,Iowa,3143734,52520,3.06
2018,19,Iowa,3149900,52149,2.58
2019,19,Iowa,3159596,52319,2.67
2020,19,Iowa,3190904,55518,5.2
2021,19,Iowa,3197944,59451,3.82
2022,19,Iowa,3199693,58769,2.74
2008,20,Kansas,2808076,51282,4.61
2009,20,Kansas,2832704,48299,6.89
2010,20,Kansas,2858266,47376,6.93
2011,20,Kansas,2869677,49879,6.38
2012,20,Kansas,2886024,50983,5.72
2013,20,Kansas,2894306,51541,5.3
2014,20,Kansas,2901861,51212,4.51
2015,20,Kansas,2910717,51652,4.15
2016,20,Kansas,2912977,51703,4.02
2017,20,Kansas,2910892,52843,3.62
2018,20,Kansas,2912748,53374,3.36
2019,20,Kansas,2912635,54358,3.28
2020,20,Kansas,2938124,57114,5.85
2021,20,Kansas,2937946,58997,3.31
2022,20,Kansas,2936716,57958,2.67
2008,21,Kentucky,4289878,41032,6.52
2009,21,Kentucky,4317074,40970,10.77
2010,21,Kentucky,4348464,40634,10.27
2011,21,Kentucky,4370817,41304,9.37
2012,21,Kentucky,4387865,41637,8.2
2013,21,Kentucky,4406906,41149,7.92
2014,21,Kentucky,4416992,42163,6.42
2015,21,Kentucky,4429126,44004,5.23
2016,21,Kentucky,4440306,44229,5.03
2017,21,Kentucky,4455590,44983,4.77
2018,21,Kentucky,4464273,45924,4.2
2019,21,Kentucky,4472345,46924,4.1
2020,21,Kentucky,4508155,50580,6.45
2021,21,Kentucky,4507600,53132,4.43
2022,21,Kentucky,4511563,50138,3.91
2008,22,Louisiana,4435586,47048,4.67
2009,22,Louisiana,4491648,45972,6.79
2010,22,Louisiana,4544635,45712,7.52
2011,22,Louisiana,4576244,45363,7.43
2012,22,Louisiana,4602067,46373,6.77
2013,22,Louisiana,4626040,46138,6.42
2014,22,Louisiana,4645938,46963,6.25
2015,22,Louisiana,4666998,47125,6.29
2016,22,Louisiana,4681346,45906,6.07
2017,22,Louisiana,4673673,47177,5.11
2018,22,Louisiana,4664450,49184,4.83
2019,22,Louisiana,4658285,49923,4.62
2020,22,Louisiana,4652022,52801,8.67
2021,22,Louisiana,4627047,54860,5.6
2022,22,Louisiana,4588023,51925,3.63
2008,23,Maine,1330509,42076,5.4
2009,23,Maine,1329590,42256,8.39
2010,23,Maine,1327651,43057,8.42
2011,23,Maine,1328473,44300,7.73
2012,23,Maine,1328094,43668,7.19
2013,23,Maine,1328543,42448,6.68
2014,23,Maine,1331217,45787,5.56
2015,23,Maine,1329098,46058,4.38
2016,23,Maine,1332348,46350,3.78
2017,23,Maine,1335743,47144,3.36
2018,23,Maine,1340123,47982,3.18
2019,23,Maine,1345770,50609,2.94
2020,23,Maine,1364517,53151,5.12
2021,23,Maine,1378787,55479,4.62
2022,23,Maine,1389338,51855,2.94
2008,24,Maryland,5684965,50561,4.53
2009,24,Maryland,5730388,49375,7.55
2010,24,Maryland,5788784,50625,7.83
2011,24,Maryland,5840241,51131,7.32
2012,24,Maryland,5888375,51763,6.87
2013,24,Maryland,5925197,49966,6.52
2014,24,Maryland,5960064,50717,5.73
2015,24,Maryland,5988528,52493,4.99
2016,24,Maryland,6007014,53818,4.29
2017,24,Maryland,6028186,54699,4
2018,24,Maryland,6042153,55322,3.82
2019,24,Maryland,6054954,56828,3.39
2020,24,Maryland,6173689,58386,6.52
2021,24,Maryland,6175045,59801,5.32
2022,24,Maryland,6163981,57736,3.23
2008,25,Massachusetts,6468967,54461,5.33
2009,25,Massachusetts,6517613,54176,8.08
2010,25,Massachusetts,6566440,55691,8.06
2011,25,Massachusetts,6614218,56417,7.23
2012,25,Massachusetts,6664269,57066,6.7
2013,25,Massachusetts,6715158,56794,6.64
2014,25,Massachusetts,6764864,57340,5.74
2015,25,Massachusetts,6797484,60375,4.79
2016,25,Massachusetts,6827280,59836,4.04
2017,25,Massachusetts,6863560,61749,3.79
2018,25,Massachusetts,6885720,63345,3.47
2019,25,Massachusetts,6894883,65445,3.02
2020,25,Massachusetts,6997713,68032,9.42
2021,25,Massachusetts,6991951,71971,5.52
2022,25,Massachusetts,6982740,66701,3.77
2008,26,Michigan,9946889,41948,8.22
2009,26,Michigan,9901591,40151,13.13
2010,26,Michigan,9877597,40984,12.19
2011,26,Michigan,9883053,42716,10.01
2012,26,Michigan,9898289,43524,9.06
2013,26,Michigan,9914802,43132,8.73
2014,26,Michigan,9932033,44085,7.23
2015,26,Michigan,9934483,47214,5.43
2016,26,Michigan,9954117,48004,5.01
2017,26,Michigan,9976752,48940,4.58
2018,26,Michigan,9987286,48952,4.16
2019,26,Michigan,9984795,49322,4.07
2020,26,Michigan,10070627,53577,10
2021,26,Michigan,10038117,55251,5.85
2022,26,Michigan,10033281,52679,4.21
2008,27,Minnesota,5247018,49860,5.43
2009,27,Minnesota,5281203,46758,7.91
2010,27,Minnesota,5310934,48225,7.39
2011,27,Minnesota,5346620,50075,6.53
2012,27,Minnesota,5377500,51557,5.65
2013,27,Minnesota,5414722,50849,5.04
2014,27,Minnesota,5452665,51753,4.27
2015,27,Minnesota,5484002,54113,3.79
2016,27,Minnesota,5525360,54497,3.87
2017,27,Minnesota,5569283,55762,3.48
2018,27,Minnesota,5608762,55425,3.03
2019,27,Minnesota,5640053,56672,3.25
2020,27,Minnesota,5710578,59982,6.27
2021,27,Minnesota,5717968,62468,3.78
2022,27,Minnesota,5714300,60785,2.67
2008,28,Mississippi,2947806,39184,6.71
2009,28,Mississippi,2958774,39758,9.36
2010,28,Mississippi,2970615,39144,10.08
2011,28,Mississippi,2979147,39422,9.78
2012,28,Mississippi,2984599,40016,8.82
2013,28,Mississippi,2989839,39978,8.49
2014,28,Mississippi,2991892,40144,7.59
2015,28,Mississippi,2990231,40954,6.48
2016,28,Mississippi,2990595,41074,5.97
2017,28,Mississippi,2990674,41757,5.23
2018,28,Mississippi,2982879,42877,4.96
2019,28,Mississippi,2978227,43791,5.53
2020,28,Mississippi,2958409,47589,8.05
2021,28,Mississippi,2949582,49677,5.5
2022,28,Mississippi,2938928,45818,3.91
2008,29,Missouri,5923916,47099,6.22
2009,29,Missouri,5961088,45186,9.02
2010,29,Missouri,5996089,43938,9.51
2011,29,Missouri,6011182,44788,8.64
2012,29,Missouri,6026027,45807,7.19
2013,29,Missouri,6042989,45178,6.77
2014,29,Missouri,6059130,45689,6.15
2015,29,Missouri,6075411,47602,5.11
2016,29,Missouri,6091384,48730,4.55
2017,29,Missouri,6111382,48939,3.74
2018,29,Missouri,6125986,49937,3.24
2019,29,Missouri,6140475,50619,3.21
2020,29,Missouri,6154426,54141,6.19
2021,29,Missouri,6170393,56045,4.08
2022,29,Missouri,6177168,54753,2.49
2008,30,Montana,976415,42420,4.72
2009,30,Montana,983982,41648,7.12
2010,30,Montana,990730,43077,7.18
2011,30,Montana,997518,43679,6.63
2012,30,Montana,1004168,45708,5.8
2013,30,Montana,1014158,45185,5.34
2014,30,Montana,1022657,45340,4.67
