year,statefip,state_name,census_region_name,labor_force_participation_rate,employment_rate,hhincome,incwage,poverty_rate,food_stamp_recipiency,homeownership_rate,rental_rate,rent_average_total,attending_school,educ_hs_grad,educ_college_grad,pct_hispanic,pct_white,pct_black,pct_asian,pct_female,pct_married,commute_car,commute_public,commute_time,work_from_home,migrate_no_move,migrate_same_state,migrate_new_state
2022,37,north carolina,South,0.628,0.962,103661,54568,0.131,0.161,0.699,0.301,1297,0.232,0.722,0.260,0.104,0.622,0.205,0.033,0.511,0.408,0.797,0.005,20.9,0.168,0.863,0.089,0.032
2018,38,north dakota,Midwest,0.698,0.974,98132,46664,0.102,0.078,0.677,0.323,931,0.248,0.728,0.202,0.035,0.858,0.033,0.020,0.487,0.416,0.915,0.000,16.6,0.035,0.818,0.105,0.057
2019,38,north dakota,Midwest,0.710,0.978,101358,46384,0.111,0.078,0.665,0.335,940,0.243,0.723,0.209,0.040,0.859,0.028,0.018,0.491,0.421,0.904,0.008,17.1,0.040,0.796,0.132,0.047
2020,38,north dakota,Midwest,0.694,0.963,100305,45284,0.110,0.079,0.716,0.284,954,0.245,0.715,0.230,0.041,0.829,0.034,0.018,0.488,0.403,0.855,0.004,18.4,0.088,0.849,0.106,0.029
2021,38,north dakota,Midwest,0.688,0.976,100044,47569,0.098,0.076,0.690,0.310,1004,0.249,0.729,0.223,0.041,0.834,0.029,0.018,0.484,0.414,0.862,0.002,15.8,0.095,0.821,0.113,0.051
2022,38,north dakota,Midwest,0.684,0.981,112193,50409,0.112,0.058,0.700,0.300,1076,0.251,0.733,0.225,0.044,0.833,0.028,0.017,0.487,0.426,0.863,0.002,16.4,0.084,0.841,0.107,0.037
2018,39,ohio,Midwest,0.633,0.950,88531,45188,0.143,0.140,0.689,0.311,921,0.238,0.717,0.208,0.039,0.810,0.124,0.024,0.509,0.382,0.907,0.000,22.6,0.043,0.848,0.121,0.017
2019,39,ohio,Midwest,0.635,0.954,91929,46407,0.133,0.134,0.693,0.307,940,0.236,0.720,0.212,0.040,0.809,0.125,0.023,0.509,0.384,0.902,0.016,23.2,0.047,0.845,0.121,0.019
2020,39,ohio,Midwest,0.617,0.937,95711,47651,0.129,0.139,0.717,0.283,972,0.227,0.727,0.223,0.041,0.781,0.116,0.023,0.511,0.390,0.823,0.010,20.3,0.133,0.872,0.099,0.015
2021,39,ohio,Midwest,0.627,0.946,96236,49320,0.135,0.148,0.707,0.293,1011,0.231,0.726,0.222,0.043,0.773,0.119,0.025,0.507,0.388,0.810,0.008,19.6,0.149,0.869,0.102,0.016
2022,39,ohio,Midwest,0.632,0.963,102549,52859,0.136,0.142,0.715,0.285,1112,0.229,0.731,0.234,0.044,0.771,0.121,0.025,0.506,0.390,0.825,0.010,20.6,0.131,0.872,0.097,0.017
2018,40,oklahoma,South,0.616,0.957,80647,42061,0.158,0.148,0.665,0.335,931,0.257,0.680,0.178,0.109,0.719,0.073,0.021,0.506,0.393,0.922,0.000,21.4,0.041,0.817,0.141,0.027
2019,40,oklahoma,South,0.611,0.956,85387,44973,0.156,0.151,0.670,0.330,923,0.254,0.683,0.181,0.111,0.723,0.072,0.022,0.505,0.385,0.924,0.004,21.7,0.044,0.823,0.135,0.027
2020,40,oklahoma,South,0.600,0.943,84528,43925,0.150,0.155,0.708,0.292,940,0.241,0.694,0.188,0.116,0.670,0.072,0.024,0.505,0.400,0.873,0.003,20.3,0.096,0.849,0.110,0.026
2021,40,oklahoma,South,0.610,0.940,84485,44558,0.157,0.175,0.679,0.321,982,0.248,0.689,0.196,0.117,0.656,0.071,0.024,0.501,0.395,0.856,0.002,19.6,0.107,0.840,0.118,0.028
2022,40,oklahoma,South,0.609,0.958,91494,47723,0.157,0.176,0.684,0.316,1107,0.245,0.695,0.197,0.121,0.651,0.069,0.025,0.502,0.397,0.871,0.002,20.8,0.096,0.846,0.109,0.028
2018,41,oregon,West,0.624,0.953,97179,47845,0.124,0.177,0.649,0.351,1272,0.229,0.729,0.251,0.133,0.838,0.020,0.049,0.504,0.415,0.815,0.004,21.9,0.076,0.822,0.129,0.035
2019,41,oregon,West,0.625,0.951,100818,49080,0.118,0.154,0.659,0.341,1330,0.224,0.738,0.252,0.135,0.833,0.019,0.050,0.505,0.402,0.809,0.046,22.4,0.073,0.837,0.119,0.032
2020,41,oregon,West,0.616,0.927,107684,51866,0.109,0.171,0.674,0.326,1385,0.217,0.749,0.271,0.134,0.762,0.017,0.049,0.505,0.409,0.728,0.026,18.8,0.184,0.848,0.108,0.030
2021,41,oregon,West,0.615,0.936,107428,54031,0.125,0.195,0.674,0.326,1437,0.216,0.747,0.270,0.141,0.745,0.020,0.049,0.500,0.405,0.705,0.017,17.5,0.227,0.845,0.111,0.031
2022,41,oregon,West,0.626,0.957,116985,57266,0.120,0.184,0.661,0.339,1547,0.215,0.750,0.273,0.144,0.747,0.019,0.049,0.499,0.400,0.726,0.021,18.5,0.190,0.846,0.109,0.030
2018,42,pennsylvania,Northeast,0.629,0.951,96445,48245,0.125,0.151,0.720,0.280,1086,0.229,0.734,0.235,0.076,0.801,0.111,0.036,0.510,0.399,0.845,0.018,25.9,0.050,0.867,0.099,0.021
2019,42,pennsylvania,Northeast,0.629,0.953,101435,50242,0.123,0.153,0.721,0.279,1106,0.226,0.735,0.241,0.078,0.796,0.113,0.036,0.511,0.393,0.836,0.057,26.4,0.054,0.866,0.098,0.022
2020,42,pennsylvania,Northeast,0.618,0.932,105235,51459,0.110,0.147,0.736,0.264,1169,0.219,0.738,0.253,0.082,0.758,0.106,0.035,0.510,0.400,0.747,0.038,22.1,0.163,0.884,0.085,0.018
2021,42,pennsylvania,Northeast,0.626,0.937,106898,54252,0.122,0.160,0.740,0.260,1201,0.221,0.741,0.257,0.083,0.749,0.103,0.037,0.506,0.400,0.738,0.028,20.9,0.188,0.883,0.083,0.021
2022,42,pennsylvania,Northeast,0.628,0.958,113788,56948,0.120,0.157,0.736,0.264,1311,0.224,0.749,0.261,0.086,0.744,0.104,0.038,0.507,0.401,0.762,0.033,22.4,0.154,0.884,0.081,0.021
2018,44,rhode island,Northeast,0.643,0.941,100237,49276,0.129,0.162,0.654,0.346,1118,0.229,0.735,0.257,0.160,0.809,0.067,0.036,0.513,0.354,0.896,0.006,23.9,0.038,0.880,0.072,0.032
2019,44,rhode island,Northeast,0.653,0.960,106574,50076,0.109,0.155,0.662,0.338,1148,0.241,0.738,0.260,0.164,0.785,0.077,0.035,0.512,0.364,0.878,0.030,24.5,0.044,0.874,0.078,0.035
2020,44,rhode island,Northeast,0.639,0.920,112187,53116,0.100,0.143,0.681,0.319,1225,0.234,0.745,0.281,0.166,0.722,0.064,0.038,0.512,0.381,0.820,0.016,22.4,0.117,0.889,0.067,0.027
2021,44,rhode island,Northeast,0.654,0.923,113164,53878,0.117,0.155,0.674,0.326,1281,0.239,0.739,0.274,0.171,0.710,0.050,0.033,0.511,0.378,0.774,0.011,20.5,0.172,0.873,0.071,0.040
2022,44,rhode island,Northeast,0.646,0.954,120658,58520,0.110,0.134,0.683,0.317,1424,0.239,0.752,0.299,0.176,0.706,0.055,0.035,0.509,0.375,0.805,0.014,22.2,0.134,0.883,0.064,0.036
2018,45,south carolina,South,0.603,0.950,80918,42287,0.153,0.145,0.701,0.299,1005,0.236,0.703,0.202,0.058,0.671,0.267,0.016,0.514,0.380,0.909,0.001,23.9,0.050,0.849,0.100,0.037
2019,45,south carolina,South,0.602,0.953,87224,44279,0.139,0.126,0.715,0.285,1044,0.229,0.708,0.213,0.058,0.667,0.265,0.019,0.518,0.388,0.908,0.005,24.6,0.052,0.858,0.093,0.035
2020,45,south carolina,South,0.589,0.939,91232,45470,0.142,0.120,0.731,0.269,1079,0.227,0.719,0.230,0.057,0.642,0.250,0.015,0.516,0.404,0.863,0.003,22.4,0.102,0.863,0.090,0.033
2021,45,south carolina,South,0.595,0.945,89176,47035,0.150,0.140,0.735,0.265,1109,0.227,0.719,0.229,0.063,0.636,0.250,0.017,0.514,0.394,0.847,0.003,22.6,0.118,0.857,0.092,0.038
2022,45,south carolina,South,0.606,0.957,97331,50863,0.142,0.133,0.743,0.257,1238,0.227,0.730,0.238,0.065,0.637,0.250,0.018,0.513,0.408,0.849,0.003,22.6,0.115,0.856,0.088,0.042
2018,46,south dakota,Midwest,0.682,0.965,82390,37952,0.138,0.100,0.705,0.295,853,0.249,0.700,0.201,0.039,0.839,0.023,0.013,0.497,0.405,0.894,0.000,16.2,0.058,0.830,0.120,0.034
2019,46,south dakota,Midwest,0.676,0.967,88186,41750,0.114,0.112,0.732,0.268,851,0.244,0.704,0.210,0.038,0.844,0.023,0.014,0.493,0.422,0.890,0.003,16.9,0.065,0.837,0.117,0.031
2020,46,south dakota,Midwest,0.674,0.963,93262,42999,0.122,0.116,0.742,0.258,830,0.244,0.699,0.201,0.040,0.798,0.022,0.012,0.497,0.404,0.836,0.003,15.9,0.107,0.874,0.090,0.021
2021,46,south dakota,Midwest,0.664,0.973,99026,48077,0.129,0.104,0.718,0.282,923,0.251,0.713,0.217,0.042,0.806,0.021,0.016,0.491,0.406,0.842,0.002,14.7,0.107,0.844,0.110,0.032
2022,46,south dakota,Midwest,0.659,0.974,100983,48920,0.119,0.098,0.746,0.254,1008,0.241,0.715,0.227,0.046,0.810,0.020,0.015,0.493,0.412,0.866,0.004,16.0,0.091,0.847,0.099,0.036
2018,47,tennessee,South,0.615,0.945,82008,43103,0.158,0.164,0.681,0.319,981,0.234,0.697,0.197,0.055,0.774,0.169,0.018,0.512,0.396,0.920,0.000,24.1,0.049,0.842,0.112,0.031
2019,47,tennessee,South,0.618,0.954,88683,45886,0.142,0.138,0.686,0.314,1032,0.230,0.702,0.208,0.057,0.772,0.167,0.019,0.512,0.402,0.909,0.006,24.5,0.057,0.846,0.111,0.030
2020,47,tennessee,South,0.612,0.935,91092,46820,0.137,0.140,0.700,0.300,1073,0.218,0.717,0.225,0.055,0.736,0.152,0.020,0.512,0.404,0.850,0.005,22.0,0.123,0.858,0.098,0.030
2021,47,tennessee,South,0.613,0.948,92831,49014,0.139,0.149,0.697,0.303,1132,0.226,0.715,0.222,0.060,0.730,0.154,0.018,0.510,0.400,0.832,0.004,21.7,0.141,0.854,0.101,0.031
2022,47,tennessee,South,0.624,0.965,98145,51784,0.137,0.138,0.697,0.303,1271,0.225,0.722,0.225,0.063,0.731,0.155,0.020,0.509,0.403,0.835,0.003,22.0,0.134,0.861,0.092,0.032
2018,48,texas,South,0.646,0.951,93730,48714,0.151,0.157,0.649,0.351,1172,0.269,0.640,0.204,0.396,0.735,0.123,0.050,0.503,0.379,0.905,0.001,25.2,0.052,0.836,0.125,0.020
2019,48,texas,South,0.651,0.956,98659,50285,0.138,0.141,0.651,0.349,1222,0.268,0.648,0.209,0.398,0.733,0.123,0.051,0.504,0.381,0.898,0.014,25.7,0.057,0.841,0.120,0.020
2020,48,texas,South,0.643,0.933,103478,51898,0.135,0.144,0.674,0.326,1254,0.262,0.660,0.228,0.399,0.513,0.115,0.051,0.503,0.392,0.810,0.010,21.9,0.149,0.852,0.113,0.018
2021,48,texas,South,0.646,0.939,101966,53684,0.145,0.160,0.667,0.333,1312,0.261,0.657,0.227,0.402,0.479,0.120,0.053,0.501,0.394,0.798,0.007,21.7,0.163,0.850,0.112,0.020
2022,48,texas,South,0.655,0.957,109930,56971,0.141,0.156,0.671,0.329,1456,0.260,0.666,0.233,0.402,0.476,0.121,0.055,0.500,0.392,0.811,0.008,22.8,0.146,0.846,0.112,0.022
2018,49,utah,West,0.681,0.968,103079,44990,0.090,0.078,0.737,0.263,1209,0.319,0.665,0.216,0.142,0.859,0.013,0.031,0.496,0.421,0.868,0.006,20.4,0.070,0.818,0.125,0.034
2019,49,utah,West,0.695,0.970,109162,47348,0.095,0.065,0.749,0.251,1236,0.317,0.673,0.218,0.144,0.875,0.011,0.031,0.498,0.421,0.863,0.026,20.9,0.075,0.833,0.119,0.030
2020,49,utah,West,0.686,0.958,115742,48525,0.071,0.074,0.760,0.240,1287,0.306,0.681,0.229,0.144,0.803,0.015,0.033,0.496,0.422,0.768,0.018,17.6,0.182,0.851,0.104,0.027
2021,49,utah,West,0.687,0.965,120681,51620,0.084,0.064,0.746,0.254,1383,0.304,0.679,0.227,0.148,0.790,0.012,0.033,0.492,0.423,0.756,0.012,17.2,0.198,0.846,0.105,0.031
2022,49,utah,West,0.700,0.974,127242,54895,0.082,0.066,0.754,0.246,1562,0.301,0.689,0.242,0.151,0.790,0.011,0.036,0.492,0.428,0.771,0.015,17.8,0.180,0.846,0.108,0.027
2018,50,vermont,Northeast,0.663,0.966,91936,42741,0.114,0.095,0.741,0.259,1143,0.227,0.772,0.295,0.019,0.942,0.011,0.020,0.505,0.409,0.833,0.001,22.6,0.074,0.860,0.090,0.040
2019,50,vermont,Northeast,0.659,0.964,96777,43954,0.102,0.106,0.749,0.251,1156,0.231,0.772,0.292,0.020,0.937,0.015,0.016,0.504,0.409,0.853,0.015,22.6,0.073,0.873,0.084,0.030
2020,50,vermont,Northeast,0.641,0.947,99093,45041,0.104,0.115,0.764,0.236,1284,0.226,0.770,0.302,0.017,0.907,0.016,0.020,0.494,0.403,0.759,0.005,19.3,0.187,0.858,0.079,0.048
2021,50,vermont,Northeast,0.626,0.960,106106,49081,0.107,0.098,0.766,0.234,1275,0.223,0.783,0.329,0.021,0.909,0.012,0.019,0.504,0.425,0.748,0.006,18.0,0.193,0.872,0.069,0.048
2022,50,vermont,Northeast,0.654,0.972,110594,50786,0.101,0.102,0.787,0.213,1398,0.213,0.785,0.336,0.023,0.907,0.010,0.017,0.504,0.420,0.766,0.007,19.1,0.162,0.870,0.078,0.036
2018,51,virginia,South,0.655,0.960,114436,55444,0.109,0.097,0.676,0.324,1425,0.250,0.716,0.283,0.096,0.674,0.192,0.066,0.508,0.402,0.861,0.023,27.1,0.056,0.841,0.108,0.033
2019,51,virginia,South,0.661,0.961,118752,56639,0.099,0.093,0.687,0.313,1439,0.248,0.719,0.286,0.097,0.670,0.195,0.067,0.508,0.405,0.855,0.043,27.2,0.060,0.844,0.105,0.032
2020,51,virginia,South,0.651,0.944,125277,59477,0.095,0.103,0.697,0.303,1503,0.239,0.731,0.305,0.098,0.616,0.187,0.068,0.510,0.411,0.741,0.027,22.0,0.194,0.859,0.096,0.029
2021,51,virginia,South,0.652,0.954,125147,61755,0.105,0.106,0.709,0.291,1543,0.241,0.729,0.301,0.102,0.607,0.183,0.068,0.505,0.406,0.726,0.014,20.5,0.223,0.855,0.098,0.032
2022,51,virginia,South,0.653,0.966,132861,65287,0.107,0.114,0.705,0.295,1665,0.240,0.733,0.306,0.104,0.602,0.187,0.070,0.505,0.409,0.759,0.019,22.2,0.182,0.860,0.092,0.031
2018,53,washington,West,0.646,0.957,111658,56610,0.106,0.135,0.655,0.345,1487,0.235,0.727,0.264,0.129,0.747,0.039,0.095,0.500,0.417,0.809,0.007,26.5,0.065,0.810,0.137,0.034
2019,53,washington,West,0.654,0.955,119032,59269,0.099,0.126,0.660,0.340,1528,0.233,0.726,0.267,0.130,0.743,0.041,0.095,0.500,0.410,0.809,0.068,26.9,0.064,0.824,0.127,0.030
2020,53,washington,West,0.634,0.940,127064,62295,0.096,0.131,0.677,0.323,1619,0.225,0.735,0.279,0.133,0.679,0.039,0.100,0.499,0.415,0.706,0.033,21.1,0.208,0.848,0.109,0.027
2021,53,washington,West,0.639,0.941,128877,66696,0.103,0.156,0.678,0.322,1682,0.227,0.736,0.285,0.137,0.665,0.040,0.101,0.496,0.415,0.689,0.020,19.7,0.244,0.836,0.118,0.029
2022,53,washington,West,0.648,0.960,138962,71571,0.102,0.140,0.682,0.318,1847,0.225,0.740,0.292,0.140,0.658,0.040,0.104,0.495,0.416,0.714,0.030,20.9,0.203,0.845,0.106,0.033
2018,54,west virginia,South,0.533,0.939,71681,40239,0.180,0.186,0.745,0.255,857,0.208,0.714,0.160,0.014,0.930,0.040,0.008,0.505,0.407,0.915,0.001,25.8,0.037,0.881,0.084,0.024
2019,54,west virginia,South,0.538,0.944,75884,41369,0.160,0.188,0.757,0.243,831,0.211,0.708,0.162,0.015,0.931,0.037,0.008,0.506,0.421,0.911,0.009,25.6,0.039,0.875,0.089,0.024
2020,54,west virginia,South,0.532,0.927,78038,41924,0.163,0.184,0.768,0.232,866,0.200,0.725,0.173,0.016,0.907,0.026,0.009,0.503,0.407,0.865,0.006,23.5,0.089,0.885,0.083,0.020
2021,54,west virginia,South,0.527,0.939,82335,44908,0.171,0.215,0.783,0.217,882,0.199,0.724,0.179,0.018,0.907,0.029,0.008,0.502,0.411,0.859,0.004,22.8,0.102,0.888,0.076,0.025
2022,54,west virginia,South,0.534,0.955,83710,47649,0.179,0.209,0.768,0.232,952,0.206,0.729,0.183,0.020,0.904,0.035,0.007,0.503,0.405,0.865,0.007,24.5,0.091,0.889,0.076,0.025
2018,55,wisconsin,Midwest,0.662,0.970,91646,44990,0.112,0.112,0.709,0.291,988,0.239,0.733,0.220,0.069,0.853,0.064,0.029,0.503,0.413,0.894,0.000,20.8,0.049,0.855,0.112,0.020
2019,55,wisconsin,Midwest,0.661,0.968,96412,46663,0.100,0.103,0.707,0.293,1000,0.239,0.737,0.226,0.071,0.853,0.064,0.031,0.505,0.409,0.887,0.019,21.3,0.049,0.860,0.110,0.019
2020,55,wisconsin,Midwest,0.645,0.961,98794,47535,0.102,0.112,0.739,0.261,1006,0.226,0.742,0.233,0.073,0.810,0.062,0.029,0.500,0.411,0.812,0.011,19.5,0.138,0.873,0.098,0.017
2021,55,wisconsin,Midwest,0.651,0.966,100148,50305,0.111,0.133,0.726,0.274,1066,0.231,0.744,0.237,0.075,0.802,0.062,0.030,0.498,0.409,0.799,0.008,18.5,0.149,0.872,0.097,0.019
2022,55,wisconsin,Midwest,0.655,0.973,106240,53179,0.108,0.131,0.727,0.273,1159,0.229,0.750,0.244,0.076,0.803,0.060,0.030,0.498,0.415,0.817,0.010,19.3,0.132,0.873,0.094,0.019
2018,56,wyoming,West,0.666,0.965,92361,45468,0.115,0.059,0.729,0.271,995,0.250,0.724,0.191,0.100,0.914,0.005,0.012,0.492,0.426,0.851,0.000,15.0,0.064,0.826,0.111,0.047
2019,56,wyoming,West,0.638,0.961,92340,44346,0.100,0.049,0.742,0.258,982,0.251,0.733,0.202,0.102,0.908,0.010,0.008,0.488,0.441,0.890,0.011,18.5,0.060,0.822,0.118,0.048
2020,56,wyoming,West,0.640,0.954,98055,47764,0.097,0.063,0.774,0.226,976,0.252,0.726,0.198,0.106,0.853,0.006,0.008,0.497,0.440,0.851,0.007,17.3,0.090,0.838,0.102,0.046
2021,56,wyoming,West,0.647,0.964,96374,46609,0.113,0.060,0.751,0.249,1051,0.240,0.732,0.205,0.106,0.842,0.012,0.008,0.487,0.438,0.853,0.010,17.1,0.084,0.830,0.108,0.051
2022,56,wyoming,West,0.658,0.964,99757,49538,0.117,0.072,0.769,0.231,1149,0.239,0.728,0.215,0.109,0.844,0.009,0.008,0.486,0.433,0.846,0.011,16.8,0.085,0.837,0.101,0.050
